#Source_Name,ASSOC_GAM,ASSOC_TEV,CLASS,ASSOC1,ASSOC2,Flags
4FGL J0024.0-7204,3FHL J0024.2-7205,,glc,NGC 104,,0
4FGL J0024.1+2402,,,,,,0
4FGL J0024.4+4647,3FGL J0022.7+4651,,bcu,B3 0021+464,,0
4FGL J0024.7+0349,3FGL J0024.4+0350,,fsrq,GB6 J0024+0349,,0
4FGL J0025.2-2231,,,fsrq,PMN J0025-2228,,0
4FGL J0025.3+6408,3FHL J0025.5+6407,Tycho,snr,Tycho,,0
4FGL J0025.4-4838,,,,,,0
4FGL J0025.7-4801,3FGL J0026.2-4812,,bcu,MRSS 194-093029,,0
4FGL J0026.1-0732,,,,,,0
4FGL J0026.6-4600,3FHL J0026.5-4602,,bll,1RXS J002636.3-460101,,0
4FGL J0028.1+7505,3FGL J0028.6+7507,,bcu,GB6 J0028+7506,,4
4FGL J0028.4+2001,3FGL J0028.8+1951,,fsrq,TXS 0025+197,,0
4FGL J0028.9+3553,,,bcu,GB6 J0028+3550,,0
4FGL J0029.0-7044,3FGL J0029.1-7045,,bll,PKS 0026-710,,0
4FGL J0029.4+2051,3FHL J0029.4+2052,,bcu,NVSS J002928+205332,,0
4FGL J0030.2-1647,3FHL J0030.2-1648,,bll,1RXS J003019.6-164723,,0
4FGL J0030.3-4224,3FGL J0030.3-4223,,fsrq,PKS 0027-426,,0
4FGL J0030.4+0451,3FGL J0030.4+0451,,PSR,PSR J0030+0451,,0
4FGL J0030.6-0212,3FHL J0030.5-0210,,bcu,PKS B0027-024,,0
4FGL J0031.0-2327,3FGL J0031.2-2320,,,,,0
4FGL J0031.3+0726,3FHL J0031.2+0727,,bll,NVSS J003119+072456,,0
4FGL J0031.5-5648,,,,,,0
4FGL J0032.3-5522,3FGL J0032.3-5522,,bcu,SUMSS J003210-552228,,0
4FGL J0032.4-2849,3FGL J0032.3-2852,,bll,PMN J0032-2849,,0
4FGL J0033.5-1921,3FHL J0033.5-1921,KUV 00311-1938,bll,KUV 00311-1938,,0
4FGL J0033.9+3858,,,bcu,MG3 J003408+3901,,0
4FGL J0034.0-4116,,,bcu,2MASS J00341272-4116243,,0
4FGL J0034.3-0534,3FGL J0034.3-0534,,PSR,PSR J0034-0534,,0
4FGL J0034.6+6438,,,,,,0
4FGL J0035.0-5728,,,bcu,PMN J0035-5726,,0
4FGL J0035.2+1514,3FHL J0035.2+1514,,bll,RX J0035.2+1515,,0
4FGL J0035.2-1739,,,,,,0
4FGL J0035.8+6131,,,bcu,LQAC 008+061,,1
4FGL J0035.9+5950,3FHL J0035.9+5950,1ES 0033+595,bll,1ES 0033+595,,0
4FGL J0036.9+1832,,,bcu,CRATES J003659.39+183203.7,,0
4FGL J0037.2-2653,,,,,,0
4FGL J0037.6+3653,,,fsrq,TBD,,0
4FGL J0037.8+1239,3FHL J0037.8+1239,,bll,NVSS J003750+123818,,0
4FGL J0037.9+2612,,,bcu,MG3 J003720+2613,,0
4FGL J0038.1+0012,3FHL J0038.1+0012,,bll,NVSS J003808+001336,,0
4FGL J0038.2-2459,3FGL J0038.0-2501,,fsrq,PKS 0035-252,,0
4FGL J0038.7-0204,,,bcu,3C 17,,1
4FGL J0039.0-0946,3FGL J0039.1-0939,,fsrq,TXS 0036-099,,0
4FGL J0039.1-2219,3FGL J0039.0-2218,,bcu,PMN J0039-2220,,0
4FGL J0039.1+6257,3FGL J0039.3+6256,,,,,0
4FGL J0039.1+4330,3FHL J0039.2+4330,,bcu,NVSS J003907+433015,,0
4FGL J0039.7+4203,,,,,,0
4FGL J0040.3+4050,3FHL J0040.3+4049,,bll,B3 0037+405,,4
4FGL J0040.4-2340,3FGL J0040.5-2339,,bll,PMN J0040-2340,,0
4FGL J0040.7-7157,,,gal,SMC,,0
4FGL J0040.9+3203,,,bcu,TXS 0038+319,,0
4FGL J0041.3+6052,,,,,,0
4FGL J0041.4+3800,3FHL J0041.5+3759,,fsrq,B3 0038+377,,0
4FGL J0041.7-1607,3FHL J0041.7-1608,,,,,0
4FGL J0042.0+3640,3FGL J0041.9+3639,,bll,RX J0042.0+3641,,0
4FGL J0042.2+2319,3FGL J0042.0+2318,,fsrq,PKS 0039+230,,0
4FGL J0043.2+4114,3FGL J0042.5+4117,,gal,M 31,,2
